source,target,mor
MAX,hsa-miR-19a-3p,-1
MAX,hsa-miR-19b-1-3p,-1
MAX,hsa-miR-19b-2-3p,1
MAX,hsa-miR-20a-3p,-1
MAX,hsa-miR-20b-3p,1
MAX,hsa-miR-25-3p,1
MAX,hsa-miR-363-3p,1
MAX,hsa-miR-92a-1-3p,-1
MAX,hsa-miR-17-3p,-1
HIF1A,hsa-miR-361-3p,-1
RELA,hsa-miR-145-3p,1
RELA,hsa-miR-146a-3p,1
TP53,hsa-miR-1204-3p,1
TP53,hsa-miR-1206-3p,1
TP53,hsa-miR-124-3p,1
TP53,hsa-miR-1246-3p,1
TP53,hsa-miR-125a-3p,1
TP53,hsa-miR-125b-3p,-1
TP53,hsa-miR-127-3p,1
TP53,hsa-miR-1275-3p,-1
TP53,hsa-miR-1277-3p,-1
TP53,hsa-miR-1323-3p,1
TP53,hsa-miR-139-3p,1
TP53,hsa-miR-141-3p,1
TP53,hsa-miR-142-3p,1
TP53,hsa-miR-145-3p,1
TP53,hsa-miR-146a-3p,-1
TP53,hsa-miR-148a-3p,1
TP53,hsa-miR-149-3p,1
TP53,hsa-miR-10b-3p,1
TP53,hsa-miR-107-3p,1
TLX3,hsa-miR-18a-3p,1
TLX3,hsa-miR-19a-3p,1
TLX3,hsa-miR-19b-3p,1
TLX3,hsa-miR-20a-3p,1
TLX3,hsa-miR-92a-3p,1
TNF,hsa-let-7a-1-3p,1
TNF,hsa-let-7d-3p,1
TNF,hsa-let-7f-1-3p,1
TNF,hsa-miR-146b-3p,1
TNF,hsa-miR-17-3p,1
TNF,hsa-miR-181a-1-3p,-1
TP53,hsa-miR-150-3p,-1
TNF,hsa-miR-181b-1-3p,-1
TNF,hsa-miR-31-3p,1
TNF,hsa-miR-9-3p,1
TNFSF12,hsa-miR-1-1-3p,-1
TNFSF12,hsa-miR-1-2-3p,-1
TNFSF12,hsa-miR-133a-3p,-1
TNFSF12,hsa-miR-133b-3p,-1
TNFSF12,hsa-miR-146a-3p,1
TNFSF12,hsa-miR-206-3p,-1
TNFSF12,hsa-miR-455-3p,1
TP53,hsa-miR-100-3p,-1
TP53,hsa-miR-106a-3p,1
TNF,hsa-miR-203-3p,1
TLX3,hsa-miR-17-3p,1
TP53,hsa-miR-151a-3p,1
TP53,hsa-miR-15a-3p,1
TP53,hsa-miR-22-3p,1
TP53,hsa-miR-221-3p,1
TP53,hsa-miR-222-3p,-1
TP53,hsa-miR-224-3p,-1
TP53,hsa-miR-23b-3p,1
TP53,hsa-miR-26a-3p,1
TP53,hsa-miR-27a-3p,-1
TP53,hsa-miR-27b-3p,-1
TP53,hsa-miR-29-3p,1
TP53,hsa-miR-29a-3p,-1
TP53,hsa-miR-300-3p,1
TP53,hsa-miR-320-3p,1
TP53,hsa-miR-34a-3p,1
TP53,hsa-miR-215-3p,1
TP53,hsa-miR-210-3p,-1
TP53,hsa-miR-20a-3p,-1
TP53,hsa-miR-15b-3p,1
TP53,hsa-miR-16-1-3p,1
TP53,hsa-miR-16-2-3p,1
TP53,hsa-miR-17-3p,-1
TP53,hsa-miR-184-3p,1
TP53,hsa-miR-18a-3p,-1
TP53,hsa-miR-191-3p,1
TP53,hsa-miR-192-3p,1
TP53,hsa-miR-155-3p,-1
TP53,hsa-miR-196a-1-3p,-1
TP53,hsa-miR-198-3p,1
TP53,hsa-miR-19a-3p,-1
TP53,hsa-miR-19b-1-3p,-1
TP53,hsa-miR-200a-3p,1
TP53,hsa-miR-200b-3p,1
TP53,hsa-miR-200c-3p,1
TP53,hsa-miR-202-3p,1
TP53,hsa-miR-205-3p,1
TP53,hsa-miR-193b-3p,1
TLX1,hsa-miR-92a-3p,1
TLX1,hsa-miR-20a-3p,1
TLX1,hsa-miR-19b-3p,1
TAL1,hsa-miR-620-3p,-1
TBX1,hsa-miR-96-3p,-1
TCF3,hsa-miR-320a-3p,1
TCF3,hsa-miR-451-3p,1
TCF3,hsa-miR-495-3p,1
TCF3,hsa-miR-709-3p,1
TCF4,hsa-miR-125b-1-3p,1
TCF4,hsa-miR-146a-3p,1
TCF4,hsa-miR-181a-2-3p,1
TCF4,hsa-miR-181b-2-3p,1
TCF4,hsa-miR-21-3p,1
TCF4,hsa-miR-34a-3p,1
TCF7L2,hsa-miR-181a-2-3p,1
TCF7L2,hsa-miR-181b-2-3p,1
TCF7L2,hsa-miR-21-3p,1
TEAD1,hsa-miR-106b-3p,1
TEAD1,hsa-miR-25-3p,1
TEAD1,hsa-miR-93-3p,1
TEAD2,hsa-miR-130a-3p,1
TFAP2A,hsa-miR-126-3p,1
TFAP2A,hsa-miR-17-3p,1
TFAP2A,hsa-miR-18a-3p,1
TFAP2A,hsa-miR-19a-3p,1
TAL1,hsa-miR-451-3p,1
TAL1,hsa-miR-29c-3p,1
TAL1,hsa-miR-26a-3p,1
TAL1,hsa-miR-223-3p,1
STAT3,hsa-miR-29b-2-3p,1
STAT3,hsa-miR-29c-3p,1
STAT3,hsa-miR-30c-1-3p,1
STAT3,hsa-miR-34a-3p,-1
STAT3,hsa-miR-370-3p,1
STAT3,hsa-miR-383-3p,-1
STAT3,hsa-miR-451-3p,-1
STAT3,hsa-miR-520d-3p,-1
STAT3,hsa-miR-629-3p,1
STAT3,hsa-miR-92a-1-3p,1
TFAP2A,hsa-miR-19b-1-3p,1
STAT3,hsa-miR-96-3p,1
STAT6,hsa-miR-142-3p,1
STAT6,hsa-miR-342-3p,1
SUV39H1,hsa-miR-122-3p,-1
SUZ12,hsa-miR-31-3p,-1
TAL1,hsa-miR-144-3p,1
TAL1,hsa-miR-146b-3p,-1
TAL1,hsa-miR-181a-3p,1
STAT4,hsa-miR-506-3p,-1
TFAP2A,hsa-miR-20a-3p,1
TFAP2A,hsa-miR-214-3p,1
TFAP2A,hsa-miR-638-3p,-1
TGFB1,hsa-miR-24-3p,1
TGFB1,hsa-miR-27a-3p,1
TGFB1,hsa-miR-29a-3p,-1
TGFB1,hsa-miR-421-3p,1
TGFB1,hsa-miR-424-3p,1
TGFB1,hsa-miR-429-3p,-1
TGFB1,hsa-miR-433-3p,1
TGFB1,hsa-miR-503-3p,1
TGFB1,hsa-miR-509-3p,1
TH,hsa-miR-21-3p,-1
TLR2,hsa-miR-146a-3p,1
TLR2,hsa-miR-27a-3p,-1
TLR2,hsa-miR-9-3p,1
TLR4,hsa-miR-187-3p,1
TLR4,hsa-miR-27a-3p,-1
TLR4,hsa-miR-9-3p,1
TLR7,hsa-miR-9-3p,1
TLR8,hsa-miR-9-3p,1
TLX1,hsa-miR-17-3p,1
TLX1,hsa-miR-18a-3p,1
TLX1,hsa-miR-19a-3p,1
TGFB1,hsa-miR-23a-3p,1
TGFB1,hsa-miR-217-3p,1
TFAP2A,hsa-miR-92a-1-3p,1
TFAP2A,hsa-miR-944-3p,1
TFAP2C,hsa-miR-944-3p,1
TGFB1,hsa-let-7d-3p,-1
TGFB1,hsa-miR-122-3p,-1
TGFB1,hsa-miR-141-3p,-1
TGFB1,hsa-miR-143-3p,1
TGFB1,hsa-miR-145-3p,1
TGFB1,hsa-miR-146a-3p,1
TGFB1,hsa-miR-155-3p,1
TGFB1,hsa-miR-181b-1-3p,1
TGFB1,hsa-miR-224-3p,1
TGFB1,hsa-miR-181b-2-3p,1
TGFB1,hsa-miR-194-3p,-1
TGFB1,hsa-miR-199a-3p,1
TGFB1,hsa-miR-200a-3p,-1
TGFB1,hsa-miR-200b-3p,-1
TGFB1,hsa-miR-200c-3p,-1
TGFB1,hsa-miR-205-3p,-1
TGFB1,hsa-miR-21-3p,1
TGFB1,hsa-miR-215-3p,1
TGFB1,hsa-miR-216a-3p,1
TGFB1,hsa-miR-192-3p,-1
STAT3,hsa-miR-29b-1-3p,1
YY1,hsa-miR-372-3p,-1
YY1,hsa-miR-9-1-3p,-1
YY1,hsa-miR-9-2-3p,-1
YY1,hsa-miR-9-3-3p,-1
ZBTB16,hsa-miR-146a-3p,-1
ZBTB16,hsa-miR-221-3p,-1
ZBTB16,hsa-miR-222-3p,-1
ZBTB4,hsa-miR-31-3p,-1
ZBTB7A,hsa-miR-125-3p,-1
ZBTB7A,hsa-miR-21-3p,1
ZBTB7A,hsa-miR-675-3p,-1
ZEB1,hsa-let-7-3p,-1
ZEB1,hsa-miR-100-3p,1
ZEB1,hsa-miR-101-1-3p,-1
ZEB1,hsa-miR-103-3p,-1
ZEB1,hsa-miR-107-3p,-1
ZEB1,hsa-miR-128b-3p,-1
ZEB1,hsa-miR-141-3p,-1
ZEB1,hsa-miR-145-3p,-1
YY1,hsa-miR-31-3p,-1
YY1,hsa-miR-29c-3p,-1
YY1,hsa-miR-29b-3p,-1
YY1,hsa-miR-29a-3p,1
TWIST1,hsa-miR-429-3p,-1
UBE2I,hsa-miR-200c-3p,-1
USF1,hsa-miR-132-3p,1
USF1,hsa-miR-148a-3p,1
USF1,hsa-miR-483-3p,1
VDR,hsa-miR-145-3p,1
VHL,hsa-miR-210-3p,1
XBP1,hsa-miR-1274b-3p,1
XBP1,hsa-miR-346-3p,1
YAP1,hsa-miR-106b-3p,1
YAP1,hsa-miR-130a-3p,1
ZEB1,hsa-miR-15b-3p,-1
YAP1,hsa-miR-25-3p,1
YBX1,hsa-miR-29b-2-3p,-1
YY1,hsa-let-7a-1-3p,-1
YY1,hsa-let-7a-2-3p,-1
YY1,hsa-let-7a-3-3p,-1
YY1,hsa-miR-1-3p,1
YY1,hsa-miR-10a-3p,-1
YY1,hsa-miR-137-3p,1
YY1,hsa-miR-155-3p,-1
YY1,hsa-miR-2682-3p,1
YAP1,hsa-miR-93-3p,1
TWIST1,hsa-miR-373-3p,1
ZEB1,hsa-miR-16-3p,-1
ZEB1,hsa-miR-182-3p,1
ZEB2,hsa-miR-103-3p,-1
ZEB2,hsa-miR-107-3p,-1
ZEB2,hsa-miR-128-2-3p,-1
ZEB2,hsa-miR-141-3p,-1
ZEB2,hsa-miR-145-3p,-1
ZEB2,hsa-miR-15b-3p,-1
ZEB2,hsa-miR-16-3p,-1
ZEB2,hsa-miR-200a-3p,-1
ZEB2,hsa-miR-200b-3p,-1
ZEB2,hsa-miR-200c-3p,-1
ZEB2,hsa-miR-203-3p,-1
ZEB2,hsa-miR-335-3p,-1
ZEB2,hsa-miR-429-3p,-1
ZFP42,hsa-miR-302a-3p,1
ZFP42,hsa-miR-302b-3p,1
ZFP42,hsa-miR-302c-3p,1
ZFP42,hsa-miR-302d-3p,1
ZFP42,hsa-miR-367-3p,1
ZIC1,hsa-miR-23a-3p,-1
ZEB1,hsa-miR-96-3p,1
ZEB1,hsa-miR-429-3p,-1
ZEB1,hsa-miR-183-3p,-1
ZEB1,hsa-miR-200a-3p,-1
ZEB1,hsa-miR-200b-3p,-1
ZEB1,hsa-miR-200c-3p,-1
ZEB1,hsa-miR-203-3p,-1
ZEB1,hsa-miR-205-3p,-1
ZEB1,hsa-miR-335-3p,-1
ZEB1,hsa-miR-34a-3p,-1
ZEB1,hsa-miR-34b-3p,-1
ZEB1,hsa-miR-34c-3p,-1
ZEB1,hsa-miR-375-3p,-1
TWIST1,hsa-miR-372-3p,1
TP53,hsa-miR-7-1-3p,-1
TP53,hsa-miR-9-2-3p,1
TP53,hsa-miR-92a-1-3p,-1
TP63,hsa-miR-1204-3p,1
TP63,hsa-miR-1246-3p,1
TP63,hsa-miR-130b-3p,-1
TP63,hsa-miR-133b-3p,1
TP63,hsa-miR-138-2-3p,-1
TP63,hsa-miR-155-3p,-1
TP63,hsa-miR-181a-3p,-1
TP63,hsa-miR-181b-1-3p,-1
TP63,hsa-miR-193a-3p,-1
TP63,hsa-miR-200a-3p,1
TP63,hsa-miR-200b-3p,1
TP63,hsa-miR-202-3p,1
TP63,hsa-miR-205-3p,1
TP63,hsa-miR-34a-3p,1
TP63,hsa-miR-429-3p,1
TP53,hsa-miR-655-3p,1
TP53,hsa-miR-605-3p,1
TP53,hsa-miR-590-3p,-1
TP53,hsa-miR-519d-3p,1
TP53,hsa-miR-34b-3p,1
TP53,hsa-miR-34c-3p,1
TP53,hsa-miR-365-3p,1
TP53,hsa-miR-3661-3p,1
TP53,hsa-miR-3662-3p,-1
TP53,hsa-miR-381-3p,1
TP53,hsa-miR-429-3p,1
TP53,hsa-miR-4521-3p,-1
TP53,hsa-miR-499-3p,-1
TP53,hsa-miR-502-3p,-1
TP53,hsa-miR-504-3p,-1
TP53,hsa-miR-506-3p,1
TP63,hsa-miR-944-3p,1
TP73,hsa-miR-1204-3p,1
TP73,hsa-miR-1246-3p,1
TWIST1,hsa-miR-10b-3p,1
TWIST1,hsa-miR-129-3p,-1
TWIST1,hsa-miR-141-3p,-1
TWIST1,hsa-miR-181a-1-3p,1
TWIST1,hsa-miR-181b-1-3p,1
TWIST1,hsa-miR-192-3p,-1
TWIST1,hsa-miR-199a-2-3p,-1
TWIST1,hsa-miR-200b-3p,-1
TWIST1,hsa-miR-200c-3p,-1
TWIST1,hsa-miR-205-3p,-1
TWIST1,hsa-miR-214-3p,-1
TWIST1,hsa-miR-223-3p,1
TWIST1,hsa-miR-27a-3p,-1
TWIST1,hsa-miR-3120-3p,1
TWIST1,hsa-miR-371a-3p,1
TWIST1,hsa-miR-371b-3p,1
TWIST1,hsa-miR-200a-3p,-1
TWIST1,hsa-let-7i-3p,-1
TP73,hsa-miR-143-3p,-1
TP73,hsa-miR-145-3p,-1
TP73,hsa-miR-193a-3p,1
TP73,hsa-miR-200a-3p,1
TP73,hsa-miR-200b-3p,1
TP73,hsa-miR-202-3p,1
TP73,hsa-miR-205-3p,1
TP73,hsa-miR-3158-3p,1
TP73,hsa-miR-34a-3p,1
TP73,hsa-miR-429-3p,1
TRIM32,hsa-let-7a-3p,1
TRIM32,hsa-let-7b-3p,1
TRIM32,hsa-let-7c-3p,1
TRIM32,hsa-let-7d-3p,1
TRIM32,hsa-let-7e-3p,1
TRIM32,hsa-let-7f-3p,1
TRIM32,hsa-let-7g-3p,1
TRIM32,hsa-let-7i-3p,1
TTF1,hsa-miR-32-3p,1
TTF1,hsa-miR-33a-3p,1
STAT3,hsa-miR-29a-3p,1
STAT3,hsa-miR-26a-1-3p,-1
SIX1,hsa-miR-200a-3p,-1
SIX1,hsa-miR-200b-3p,-1
SIX1,hsa-miR-200c-3p,-1
SMAD1,hsa-miR-302a-3p,-1
SMAD1,hsa-miR-302b-3p,-1
SMAD1,hsa-miR-302c-3p,-1
SMAD1,hsa-miR-302d-3p,-1
SMAD1,hsa-miR-367-3p,-1
SMAD2,hsa-miR-27a-3p,1
SMAD2,hsa-miR-30d-3p,-1
SMAD2,hsa-miR-96-3p,1
SMAD3,hsa-miR-136-3p,-1
SMAD3,hsa-miR-140-3p,-1
SMAD3,hsa-miR-143-3p,1
SMAD3,hsa-miR-145-3p,1
SMAD3,hsa-miR-155-3p,1
SMAD3,hsa-miR-17-3p,1
SMAD3,hsa-miR-181a-2-3p,1
SIRT1,hsa-miR-503-3p,-1
SIRT1,hsa-miR-424-3p,-1
SIRT1,hsa-miR-34a-3p,-1
RUNX1,hsa-miR-92a-1-3p,-1
RUNX1,hsa-miR-92a-2-3p,-1
RUNX1T1,hsa-miR-221-3p,-1
RUNX1T1,hsa-miR-223-3p,-1
RUNX2,hsa-miR-21-3p,-1
RUNX2,hsa-miR-23a-3p,-1
RUNX2,hsa-miR-24-2-3p,-1
RUNX2,hsa-miR-27a-3p,-1
RUNX2,hsa-miR-2861-3p,1
SMAD3,hsa-miR-181b-2-3p,1
RUNX2,hsa-miR-31-3p,-1
RUNX2,hsa-miR-3960-3p,1
RUNX3,hsa-miR-146b-3p,1
RUNX3,hsa-miR-185-3p,1
RUNX3,hsa-miR-186-3p,1
RUNX3,hsa-miR-30a-3p,1
RUNX3,hsa-miR-6780a-3p,-1
RXRA,hsa-miR-122-3p,1
RXRA,hsa-miR-143-3p,1
RXRA,hsa-miR-145-3p,1
RXRA,hsa-miR-193-3p,-1
RXRA,hsa-miR-193a-3p,-1
RUNX1,hsa-miR-484-3p,1
SMAD3,hsa-miR-18a-3p,1
SMAD3,hsa-miR-192-3p,1
SMAD4,hsa-miR-181b-2-3p,1
SMAD4,hsa-miR-302a-3p,-1
SMAD4,hsa-miR-302b-3p,-1
SMAD4,hsa-miR-302c-3p,-1
SMAD4,hsa-miR-302d-3p,-1
SMAD4,hsa-miR-367-3p,-1
SMAD4,hsa-miR-376c-3p,-1
SMAD4,hsa-miR-424-3p,1
SMAD4,hsa-miR-450a-3p,-1
SMAD4,hsa-miR-450b-3p,-1
SMAD4,hsa-miR-494-3p,1
SMAD4,hsa-miR-503-3p,1
SMAD4,hsa-miR-574-3p,1
SMAD4,hsa-miR-96-3p,-1
SMARCA4,hsa-miR-550a-3p,-1
SNAI1,hsa-miR-101-3p,-1
SNAI1,hsa-miR-128-2-3p,-1
SNAI1,hsa-miR-129-3p,-1
SNAI1,hsa-miR-141-3p,-1
SNAI1,hsa-miR-200a-3p,-1
SNAI1,hsa-miR-200b-3p,-1
SMAD4,hsa-miR-181a-2-3p,1
SMAD4,hsa-miR-155-3p,1
SMAD3,hsa-miR-19a-3p,1
SMAD3,hsa-miR-19b-1-3p,1
SMAD3,hsa-miR-200-3p,-1
SMAD3,hsa-miR-200a-3p,1
SMAD3,hsa-miR-200b-3p,1
SMAD3,hsa-miR-20a-3p,1
SMAD3,hsa-miR-21-3p,1
SMAD3,hsa-miR-26a-3p,-1
SMAD3,hsa-miR-27a-3p,1
SMAD3,hsa-miR-29-3p,-1
SMAD3,hsa-miR-29b-3p,-1
SMAD3,hsa-miR-30d-3p,-1
SMAD3,hsa-miR-424-3p,1
SMAD3,hsa-miR-433-3p,1
SMAD3,hsa-miR-450a-3p,-1
SMAD3,hsa-miR-450b-3p,-1
SMAD3,hsa-miR-451-3p,1
SMAD3,hsa-miR-455-3p,1
SMAD4,hsa-miR-143-3p,1
SMAD4,hsa-miR-145-3p,1
SMAD3,hsa-miR-31-3p,1
RUNX1,hsa-miR-451-3p,-1
RUNX1,hsa-miR-378-3p,-1
RUNX1,hsa-miR-363-3p,-1
RELA,hsa-miR-22-3p,1
RELA,hsa-miR-221-3p,1
RELA,hsa-miR-222-3p,1
RELA,hsa-miR-223-3p,1
RELA,hsa-miR-224-3p,-1
RELA,hsa-miR-23a-3p,1
RELA,hsa-miR-23b-3p,1
RELA,hsa-miR-24-1-3p,1
RELA,hsa-miR-24-2-3p,1
RELA,hsa-miR-27a-3p,1
RELA,hsa-miR-27b-3p,1
RELA,hsa-miR-29-3p,-1
RELA,hsa-miR-29c-3p,-1
RELA,hsa-miR-3074-3p,1
RELA,hsa-miR-30b-3p,1
RELA,hsa-miR-3151-3p,1
RELA,hsa-miR-34a-3p,1
RELA,hsa-miR-378a-3p,-1
RELA,hsa-miR-212-3p,1
RELA,hsa-miR-21-3p,1
RELA,hsa-miR-146b-3p,1
RELA,hsa-miR-150-3p,-1
RELA,hsa-miR-155-3p,1
RELA,hsa-miR-17-3p,1
RELA,hsa-miR-182-3p,1
RELA,hsa-miR-451-3p,-1
RELA,hsa-miR-188-3p,-1
RELA,hsa-miR-18a-3p,1
RELA,hsa-miR-192-3p,-1
RELA,hsa-miR-193b-3p,1
RELA,hsa-miR-199a-3p,-1
RELA,hsa-miR-19a-3p,1
RELA,hsa-miR-19b-1-3p,1
RELA,hsa-miR-200b-3p,1
RELA,hsa-miR-205-3p,1
RELA,hsa-miR-20a-3p,1
RELA,hsa-miR-183-3p,1
RELA,hsa-miR-503-3p,1
RELA,hsa-miR-509-3p,-1
RELA,hsa-miR-7-1-3p,-1
RREB1,hsa-miR-143-3p,-1
RREB1,hsa-miR-145-3p,-1
RUNX1,hsa-miR-106a-3p,-1
RUNX1,hsa-miR-144-3p,-1
RUNX1,hsa-miR-17-3p,-1
RUNX1,hsa-miR-181c-3p,-1
RUNX1,hsa-miR-181d-3p,-1
RUNX1,hsa-miR-18a-3p,-1
RUNX1,hsa-miR-18b-3p,-1
RUNX1,hsa-miR-19a-3p,-1
RUNX1,hsa-miR-19b-2-3p,-1
RUNX1,hsa-miR-20a-3p,-1
RUNX1,hsa-miR-20b-3p,-1
RUNX1,hsa-miR-23a-3p,-1
RUNX1,hsa-miR-24-2-3p,-1
RUNX1,hsa-miR-27a-3p,1
RUNX1,hsa-miR-19b-1-3p,-1
SNAI1,hsa-miR-200c-3p,-1
RPS6KA5,hsa-miR-181a-3p,1
RELA,hsa-miR-7-2-3p,-1
RELA,hsa-miR-7-3-3p,-1
RELA,hsa-miR-802-3p,1
RELA,hsa-miR-92a-1-3p,1
RELA,hsa-miR-96-3p,-1
RELA,hsa-miR-99b-3p,1
RELB,hsa-let-7b-3p,-1
RELB,hsa-miR-221-3p,1
REPIN1,hsa-miR-15a-3p,-1
REPIN1,hsa-miR-16-1-3p,-1
REST,hsa-miR-124-3p,-1
REST,hsa-miR-132-3p,-1
REST,hsa-miR-199a-1-3p,-1
REST,hsa-miR-199a-2-3p,-1
REST,hsa-miR-203-3p,-1
REST,hsa-miR-21-3p,-1
REST,hsa-miR-124a-3p,-1
STAT3,hsa-miR-27b-3p,1
SNAI1,hsa-miR-203-3p,-1
SNAI1,hsa-miR-34a-3p,-1
SREBF2,hsa-miR-18a-3p,1
SREBF2,hsa-miR-19a-3p,1
SREBF2,hsa-miR-19b-1-3p,1
SREBF2,hsa-miR-20a-3p,1
SREBF2,hsa-miR-92a-1-3p,1
SREBF2,hsa-miR-96-3p,1
SRF,hsa-miR-1-1-3p,1
SRF,hsa-miR-1-2-3p,1
SRF,hsa-miR-143-3p,1
SRF,hsa-miR-145-3p,1
SRF,hsa-miR-199a-1-3p,1
SRF,hsa-miR-199a-2-3p,1
SRF,hsa-miR-206-3p,1
SRF,hsa-miR-214-3p,1
SRF,hsa-miR-29b-3p,1
SRF,hsa-miR-3120-3p,1
SRSF1,hsa-miR-221-3p,1
SRSF1,hsa-miR-222-3p,1
SRSF1,hsa-miR-7-3p,1
STAT1,hsa-let-7a-3p,1
STAT1,hsa-miR-124-3p,1
SREBF2,hsa-miR-183-3p,1
SREBF2,hsa-miR-182-3p,1
SREBF2,hsa-miR-17-3p,1
SREBF1,hsa-miR-613-3p,1
SPI1,hsa-miR-155-3p,1
SPI1,hsa-miR-17-3p,-1
SPI1,hsa-miR-18a-3p,-1
SPI1,hsa-miR-199a-2-3p,-1
SPI1,hsa-miR-19a-3p,-1
SPI1,hsa-miR-19b-1-3p,-1
SPI1,hsa-miR-20a-3p,-1
SPI1,hsa-miR-21-3p,1
SPI1,hsa-miR-22-3p,1
SPI1,hsa-miR-223-3p,1
SPI1,hsa-miR-23a-3p,1
STAT1,hsa-miR-146b-3p,1
SPI1,hsa-miR-338-3p,1
SPI1,hsa-miR-424-3p,1
SPI1,hsa-miR-615-3p,1
SPI1,hsa-miR-92a-1-3p,-1
SPRR2A,hsa-miR-141-3p,-1
SPRR2A,hsa-miR-200c-3p,-1
SREBF1,hsa-miR-185-3p,1
SREBF1,hsa-miR-29b-3p,1
SPI1,hsa-miR-342-3p,1
SPI1,hsa-miR-146a-3p,1
STAT1,hsa-miR-155-3p,1
STAT3,hsa-miR-197-3p,1
STAT3,hsa-miR-19a-3p,1
STAT3,hsa-miR-19b-1-3p,1
STAT3,hsa-miR-200c-3p,-1
STAT3,hsa-miR-204-3p,-1
STAT3,hsa-miR-20a-3p,1
STAT3,hsa-miR-21-3p,1
STAT3,hsa-miR-214-3p,1
STAT3,hsa-miR-218-3p,-1
STAT3,hsa-miR-22-3p,-1
STAT3,hsa-miR-23b-3p,1
STAT3,hsa-miR-24-3p,1
STAT3,hsa-miR-24-1-3p,1
STAT3,hsa-miR-18a-3p,1
STAT3,hsa-miR-184-3p,1
STAT3,hsa-miR-183-3p,1
STAT3,hsa-miR-182-3p,1
STAT1,hsa-miR-7-3p,1
STAT3,hsa-let-7d-3p,-1
STAT3,hsa-miR-1-3p,-1
STAT3,hsa-miR-124-3p,-1
STAT3,hsa-miR-125b-3p,1
STAT3,hsa-miR-125b-2-3p,1
STAT3,hsa-miR-135b-3p,1
STAT3,hsa-miR-143-3p,1
STAT3,hsa-miR-146a-3p,1
STAT3,hsa-miR-146b-3p,1
STAT1,hsa-miR-29a-3p,1
STAT3,hsa-miR-150-3p,-1
STAT3,hsa-miR-155-3p,1
STAT3,hsa-miR-15a-3p,1
STAT3,hsa-miR-16-1-3p,1
STAT3,hsa-miR-17-3p,1
STAT3,hsa-miR-181a-3p,1
STAT3,hsa-miR-181b-3p,1
STAT3,hsa-miR-181b-1-3p,1
SPI1,hsa-miR-142-3p,1
SOX2,hsa-miR-141-3p,-1
SOX2,hsa-miR-182-3p,1
SOX2,hsa-miR-183-3p,1
SOX2,hsa-miR-19b-2-3p,1
SOX2,hsa-miR-200c-3p,-1
SOX2,hsa-miR-22-3p,1
SOX2,hsa-miR-29b-3p,1
SOX2,hsa-miR-301a-3p,-1
SOX2,hsa-miR-302a-3p,1
SOX2,hsa-miR-302b-3p,1
SOX2,hsa-miR-302c-3p,1
SOX2,hsa-miR-302d-3p,1
SOX2,hsa-miR-324-3p,1
SOX2,hsa-miR-367-3p,1
SOX2,hsa-miR-135b-3p,1
SOX2,hsa-miR-1251-3p,1
SOX2,hsa-miR-124-2-3p,1
SOX17,hsa-miR-371-3p,1
SNAI1,hsa-miR-34b-3p,-1
SNAI1,hsa-miR-34c-3p,-1
SNAI1,hsa-miR-375-3p,-1
SNAI1,hsa-miR-429-3p,-1
SNAI1,hsa-miR-493-3p,-1
SNAI2,hsa-miR-101-3p,-1
SNAI2,hsa-miR-137-3p,1
SNAI2,hsa-miR-141-3p,-1
SNAI2,hsa-miR-145-3p,-1
SNAI2,hsa-miR-200a-3p,-1
SNAI2,hsa-miR-200b-3p,-1
SNAI2,hsa-miR-200c-3p,-1
SNAI2,hsa-miR-221-3p,1
SNAI2,hsa-miR-222-3p,1
SNAI2,hsa-miR-34a-3p,-1
SNAI2,hsa-miR-429-3p,-1
SNAI2,hsa-miR-675-3p,1
SON,hsa-miR-23a-3p,-1
SON,hsa-miR-24-2-3p,-1
SON,hsa-miR-27a-3p,-1
SOX10,hsa-miR-335-3p,1
SOX10,hsa-miR-338-3p,1
SNAI2,hsa-miR-203-3p,-1
SOX2,hsa-miR-424-3p,-1
SOX2,hsa-miR-577-3p,1
SOX2,hsa-miR-7-1-3p,1
SP1,hsa-miR-200a-3p,-1
SP1,hsa-miR-200b-3p,1
SP1,hsa-miR-200c-3p,-1
SP1,hsa-miR-22-3p,-1
SP1,hsa-miR-23a-3p,1
SP1,hsa-miR-23b-3p,-1
SP1,hsa-miR-24-2-3p,1
SP1,hsa-miR-27a-3p,1
SP1,hsa-miR-29c-3p,-1
SP1,hsa-miR-3151-3p,1
SP1,hsa-miR-320a-3p,1
SP1,hsa-miR-34c-3p,1
SP1,hsa-miR-365-3p,1
SP1,hsa-miR-373-3p,1
SP1,hsa-miR-429-3p,1
SP1,hsa-miR-630-3p,-1
SP7,hsa-miR-93-3p,-1
SP1,hsa-miR-29b-3p,-1
SOX2,hsa-miR-7-3-3p,1
SOX2,hsa-miR-766-3p,1
SOX2,hsa-miR-9-2-3p,-1
SOX2,hsa-miR-942-3p,1
SOX2,hsa-miR-96-3p,1
SOX4,hsa-miR-1269a-3p,1
SOX4,hsa-miR-129-2-3p,-1
SOX4,hsa-miR-31-3p,-1
SOX9,hsa-miR-140-3p,1
SOX9,hsa-miR-29a-3p,-1
SP1,hsa-miR-19a-3p,1
SOX9,hsa-miR-574-3p,1
SP1,hsa-miR-130a-3p,1
SP1,hsa-miR-132-3p,1
SP1,hsa-miR-141-3p,1
SP1,hsa-miR-142-3p,1
SP1,hsa-miR-146b-3p,1
SP1,hsa-miR-182-3p,1
SP1,hsa-miR-195-3p,1
