source,target,mor
MYCN,hsa-miR-19b-2-3p,1
MYCN,hsa-miR-181b-1-3p,1
MYCN,hsa-miR-181d-3p,1
MYCN,hsa-miR-182-3p,-1
MYCN,hsa-miR-183-3p,-1
MYCN,hsa-miR-18a-3p,1
MYCN,hsa-miR-18b-3p,1
MYCN,hsa-miR-19a-3p,1
MYCN,hsa-miR-181b-2-3p,1
MYC,hsa-miR-222-3p,-1
NFKB1,hsa-miR-136-3p,1
NFKB1,hsa-miR-146a-3p,1
POU5F1,hsa-miR-130b-3p,1
POU5F1,hsa-miR-142-3p,-1
POU5F1,hsa-miR-145-3p,-1
POU5F1,hsa-miR-301a-3p,1
POU5F1,hsa-miR-301b-3p,1
POU5F1,hsa-miR-302a-3p,1
POU5F1,hsa-miR-302b-3p,1
POU5F1,hsa-miR-302c-3p,1
POU5F1,hsa-miR-302d-3p,1
POU5F1,hsa-miR-367-3p,1
POU5F1,hsa-miR-454-3p,1
PPARA,hsa-miR-199a-2-3p,1
POU5F1,hsa-miR-130a-3p,1
POU5F1,hsa-miR-125b-1-3p,1
POU5F1,hsa-miR-1246-3p,1
POU2F2,hsa-miR-198-3p,-1
PBX2,hsa-miR-222-3p,1
PCGF2,hsa-miR-205-3p,1
PDGFA,hsa-miR-1274b-3p,1
PDGFA,hsa-miR-138-3p,1
PDLIM7,hsa-miR-10b-3p,1
PELP1,hsa-miR-141-3p,-1
PELP1,hsa-miR-200a-3p,-1
PELP1,hsa-miR-200b-3p,-1
PELP1,hsa-miR-200c-3p,-1
PELP1,hsa-miR-429-3p,-1
PIM1,hsa-miR-17-3p,1
PIM1,hsa-miR-18a-3p,1
PIM1,hsa-miR-19b-1-3p,1
PIM1,hsa-miR-20a-3p,1
PIM1,hsa-miR-92a-1-3p,1
PITX2,hsa-miR-1-3p,-1
PKM,hsa-miR-124-3p,1
PKM,hsa-miR-205-3p,-1
PLK1,hsa-miR-141-3p,-1
PLK1,hsa-miR-200c-3p,-1
POU2F1,hsa-let-7g-3p,1
POU2F1,hsa-miR-451-3p,1
POU2F1,hsa-miR-542-3p,1
PIM1,hsa-miR-19a-3p,1
PBX2,hsa-miR-221-3p,1
PPARA,hsa-miR-200c-3p,1
PPARA,hsa-miR-214-3p,1
PTEN,hsa-miR-302b-3p,1
PTEN,hsa-miR-302c-3p,1
PTEN,hsa-miR-302d-3p,1
PTEN,hsa-miR-302f-3p,1
PTPN1,hsa-miR-122-3p,-1
RARA,hsa-miR-143-3p,1
RARA,hsa-miR-145-3p,1
RARA,hsa-miR-302b-3p,1
RBBP5,hsa-miR-146a-3p,1
RBBP5,hsa-miR-155-3p,1
RBPJ,hsa-miR-221-3p,-1
RBPJ,hsa-miR-222-3p,-1
REL,hsa-miR-15b-3p,1
REL,hsa-miR-21-3p,1
RELA,hsa-let-7e-3p,1
RELA,hsa-miR-100-3p,1
RELA,hsa-miR-105-3p,-1
RELA,hsa-miR-125a-3p,1
RELA,hsa-miR-125b-1-3p,1
RELA,hsa-miR-130a-3p,1
PTEN,hsa-miR-302a-3p,1
PTEN,hsa-miR-25-3p,1
PTEN,hsa-miR-22-3p,1
PPARA,hsa-miR-301a-3p,1
PPARA,hsa-miR-454-3p,1
PPARG,hsa-miR-122-3p,1
PPARG,hsa-miR-125b-3p,1
PPARG,hsa-miR-142-3p,1
PPARG,hsa-miR-145-3p,1
PPARG,hsa-miR-21-3p,-1
PPARG,hsa-miR-29b-3p,1
PPARG,hsa-miR-613-3p,-1
PRDM1,hsa-let-7c-3p,-1
PRDM1,hsa-miR-125b-3p,-1
PRDM1,hsa-miR-21-3p,-1
PRDM1,hsa-miR-222-3p,-1
PRDM1,hsa-miR-223-3p,-1
PRKCA,hsa-miR-15a-3p,-1
PRMT5,hsa-miR-96-3p,-1
PROX1,hsa-miR-9-2-3p,1
PRDM1,hsa-miR-101-3p,-1
PBX1,hsa-miR-21-3p,1
PBX1,hsa-miR-196b-3p,1
PAX8,hsa-miR-146b-3p,1
NFKB1,hsa-miR-23b-3p,-1
NFKB1,hsa-miR-24-1-3p,-1
NFKB1,hsa-miR-2467-3p,1
NFKB1,hsa-miR-27b-3p,-1
NFKB1,hsa-miR-2909-3p,1
NFKB1,hsa-miR-29a-3p,-1
NFKB1,hsa-miR-29b-3p,-1
NFKB1,hsa-miR-29b-1-3p,-1
NFKB1,hsa-miR-29c-3p,-1
NFKB1,hsa-miR-301a-3p,1
NFKB1,hsa-miR-30b-3p,-1
NFKB1,hsa-miR-30c-3p,1
NFKB1,hsa-miR-30c-2-3p,1
NFKB1,hsa-miR-3200-3p,-1
NFKB1,hsa-miR-340-3p,-1
NFKB1,hsa-miR-34a-3p,1
NFKB1,hsa-miR-3620-3p,-1
NFKB1,hsa-miR-365-3p,1
NFKB1,hsa-miR-424-3p,-1
NFKB1,hsa-miR-425-3p,1
NFKB1,hsa-miR-224-3p,1
NFKB1,hsa-miR-219a-1-3p,-1
NFKB1,hsa-miR-214-3p,-1
NFKB1,hsa-miR-210-3p,1
NFKB1,hsa-miR-146b-3p,1
NFKB1,hsa-miR-148a-3p,1
NFKB1,hsa-miR-150-3p,1
NFKB1,hsa-miR-155-3p,1
NFKB1,hsa-miR-429-3p,1
NFKB1,hsa-miR-1908-3p,-1
NFKB1,hsa-miR-199a-2-3p,-1
NFKB1,hsa-miR-200a-3p,1
NFKB1,hsa-miR-200b-3p,1
NFKB1,hsa-miR-21-3p,1
NFKB1,hsa-miR-17-3p,-1
NFKB1,hsa-miR-4454-3p,1
NFKB1,hsa-miR-448-3p,-1
NFKB1,hsa-miR-4485-3p,-1
NR1H3,hsa-miR-206-3p,-1
NR1H4,hsa-miR-122-3p,1
NR1H4,hsa-miR-144-3p,1
NR1H4,hsa-miR-199a-3p,-1
NR1H4,hsa-miR-29a-3p,1
NR1H4,hsa-miR-34a-3p,-1
NR1H4,hsa-miR-451-3p,1
NR2E1,hsa-miR-137-3p,-1
NR3C2,hsa-miR-186-3p,1
NR1H3,hsa-miR-130a-3p,1
NR3C2,hsa-miR-338-3p,1
NR5A2,hsa-miR-200c-3p,1
NSUN2,hsa-miR-125b-2-3p,-1
OGG1,hsa-miR-125b-2-3p,1
OGG1,hsa-miR-133b-3p,1
ONECUT1,hsa-miR-122-3p,1
PAX4,hsa-miR-144-3p,-1
PAX4,hsa-miR-451-3p,-1
PAX5,hsa-miR-15a-3p,-1
PAX5,hsa-miR-16-1-3p,-1
PAX5,hsa-miR-648-3p,1
PAX6,hsa-miR-135b-3p,1
NR3C2,hsa-miR-95-3p,1
NR1H2,hsa-miR-145-3p,1
NOTCH3,hsa-miR-223-3p,1
NFKB1,hsa-miR-449c-3p,1
NFKB1,hsa-miR-494-3p,1
NFKB1,hsa-miR-502-3p,1
NFKB1,hsa-miR-503-3p,-1
NFKB1,hsa-miR-506-3p,-1
NFKB1,hsa-miR-509-3p,1
NFKB1,hsa-miR-548d-3p,-1
NFKB1,hsa-miR-9-3p,1
NFKB1,hsa-miR-9-1-3p,1
NR1H2,hsa-miR-143-3p,1
NFKB2,hsa-miR-221-3p,1
NKX2-1,hsa-miR-32-3p,1
NKX2-1,hsa-miR-33a-3p,1
NKX2-5,hsa-miR-143-3p,1
NKX2-5,hsa-miR-145-3p,1
NKX2-5,hsa-miR-17-3p,1
NKX2-5,hsa-miR-18a-3p,1
NKX2-5,hsa-miR-19a-3p,1
NKX2-5,hsa-miR-19b-3p,1
NKX2-5,hsa-miR-20a-3p,1
NKX2-5,hsa-miR-92a-3p,1
NOTCH1,hsa-miR-223-3p,1
NFYA,hsa-miR-33a-3p,-1
RELA,hsa-miR-132-3p,1
MYC,hsa-miR-221-3p,-1
MYC,hsa-miR-22-3p,1
JMJD1C,hsa-miR-302b-3p,1
JMJD1C,hsa-miR-302c-3p,1
JMJD1C,hsa-miR-302d-3p,1
JMJD1C,hsa-miR-367-3p,1
JUN,hsa-miR-106b-3p,1
JUN,hsa-miR-127-3p,-1
JUN,hsa-miR-135b-3p,1
JUN,hsa-miR-139-3p,1
JUN,hsa-miR-141-3p,-1
JUN,hsa-miR-144-3p,1
JUN,hsa-miR-146a-3p,1
JUN,hsa-miR-184-3p,-1
JUN,hsa-miR-18b-3p,1
JUN,hsa-miR-200a-3p,-1
JUN,hsa-miR-200b-3p,-1
JUN,hsa-miR-200c-3p,-1
JUN,hsa-miR-203-3p,-1
JUN,hsa-miR-21-3p,1
JUN,hsa-miR-221-3p,1
JUN,hsa-miR-222-3p,1
JMJD1C,hsa-miR-302a-3p,1
JAG1,hsa-miR-145-3p,1
JAG1,hsa-miR-143-3p,1
ITGB3,hsa-miR-150-3p,-1
IL1B,hsa-miR-146a-3p,1
IL1B,hsa-miR-21-3p,1
IL1B,hsa-miR-9-3p,1
IL2,hsa-miR-182-3p,1
IL4,hsa-miR-378-3p,1
IL6,hsa-let-7a-3p,1
IL6,hsa-let-7b-3p,1
IL6,hsa-miR-146b-3p,1
IL6,hsa-miR-148a-3p,-1
IL6,hsa-miR-152-3p,-1
IL6,hsa-miR-301a-3p,-1
IL6,hsa-miR-370-3p,-1
ILF2,hsa-miR-7-1-3p,-1
ILF3,hsa-miR-590-3p,-1
ILF3,hsa-miR-7-1-3p,-1
IRF1,hsa-miR-155-3p,-1
IRF1,hsa-miR-203-3p,1
IRF1,hsa-miR-29b-3p,1
IRF3,hsa-miR-155-3p,1
IRF3,hsa-miR-576-3p,1
IRF4,hsa-miR-155-3p,1
IL6,hsa-miR-301b-3p,-1
IL4,hsa-miR-29a-3p,-1
JUN,hsa-miR-23a-3p,1
KDM5B,hsa-miR-200b-3p,-1
KDM5B,hsa-miR-200c-3p,-1
KDM5B,hsa-miR-31-3p,-1
KDM5B,hsa-miR-429-3p,-1
KDM5B,hsa-miR-99b-3p,-1
KLF2,hsa-miR-126-3p,1
KLF2,hsa-miR-143-3p,1
KLF2,hsa-miR-145-3p,1
KLF2,hsa-miR-150-3p,1
KLF2,hsa-miR-23b-3p,1
KLF3,hsa-miR-182-3p,-1
KLF3,hsa-miR-23a-3p,-1
KLF3,hsa-miR-24-2-3p,-1
KLF3,hsa-miR-27a-3p,-1
KLF4,hsa-miR-1-2-3p,1
KLF4,hsa-miR-134-3p,-1
KLF4,hsa-miR-143-3p,-1
KDM5B,hsa-miR-200a-3p,-1
KDM5B,hsa-miR-141-3p,-1
KDM5B,hsa-miR-125a-3p,-1
KDM5B,hsa-let-7e-3p,-1
JUN,hsa-miR-23b-3p,-1
JUN,hsa-miR-25-3p,1
JUN,hsa-miR-31-3p,1
JUN,hsa-miR-3188-3p,-1
JUN,hsa-miR-320b-3p,-1
JUN,hsa-miR-378-3p,1
JUN,hsa-miR-429-3p,-1
JUN,hsa-miR-451-3p,1
JUN,hsa-miR-630-3p,-1
JUN,hsa-miR-93-3p,1
JUN,hsa-miR-224-3p,1
JUNB,hsa-miR-135b-3p,1
JUND,hsa-miR-29b-1-3p,1
KAT2B,hsa-miR-141-3p,-1
KAT2B,hsa-miR-200c-3p,-1
KDM1A,hsa-miR-200c-3p,-1
KDM1A,hsa-miR-568-3p,-1
KDM2A,hsa-miR-101-3p,-1
KDM2B,hsa-let-7b-3p,-1
KDM2B,hsa-miR-101-3p,-1
KDM4A,hsa-miR-34a-3p,-1
JUNB,hsa-miR-155-3p,1
IFNG,hsa-miR-145-3p,1
IFNG,hsa-miR-143-3p,1
IFNB1,hsa-miR-145-3p,1
HNF1A,hsa-miR-194-2-3p,1
ZIC1,hsa-miR-24-2-3p,-1
HNF4A,hsa-miR-101-2-3p,1
HNF4A,hsa-miR-1193-3p,1
HNF4A,hsa-miR-1197-3p,1
HNF4A,hsa-miR-122-3p,1
HNF4A,hsa-miR-124-3p,1
HNF4A,hsa-miR-124-1-3p,1
HNF4A,hsa-miR-134-3p,1
HNF4A,hsa-miR-150-3p,1
HNF4A,hsa-miR-154-3p,1
HNF4A,hsa-miR-182-3p,1
HNF4A,hsa-miR-183-3p,1
HNF4A,hsa-miR-192-3p,1
HNF4A,hsa-miR-194-3p,1
HNF4A,hsa-miR-194-2-3p,1
HNF4A,hsa-miR-200a-3p,1
HNF4A,hsa-miR-200b-3p,1
HNF1A,hsa-miR-194-3p,1
HIF1A,hsa-miR-372-3p,1
HIF1A,hsa-miR-373-3p,1
HIF1A,hsa-miR-376c-3p,1
HIF1A,hsa-miR-382-3p,1
HIF1A,hsa-miR-424-3p,1
HIF1A,hsa-miR-429-3p,1
HIF1A,hsa-miR-452-3p,1
HIF1A,hsa-miR-454-3p,1
HIF1A,hsa-miR-497-3p,1
HIF1A,hsa-miR-602-3p,1
HIF1A,hsa-miR-687-3p,1
HNF4A,hsa-miR-200c-3p,1
HIF1A,hsa-miR-96-3p,1
HLF,hsa-miR-132-3p,1
HMGA1,hsa-miR-101-2-3p,1
HMGA1,hsa-miR-196a-2-3p,1
HMGA1,hsa-miR-222-3p,1
HMGA1,hsa-miR-29a-3p,1
HMGA1,hsa-miR-331-3p,1
HNF1A,hsa-miR-122-3p,1
HNF1A,hsa-miR-192-3p,1
HNF4A,hsa-miR-299-3p,1
HNF4A,hsa-miR-323-3p,1
HNF4A,hsa-miR-329-1-3p,1
HNF4A,hsa-miR-656-3p,1
HNF4A,hsa-miR-668-3p,1
HNF4A,hsa-miR-7-2-3p,1
HNF4A,hsa-miR-758-3p,1
HNF4A,hsa-miR-889-3p,1
HNF4A,hsa-miR-96-3p,1
HOXA10,hsa-let-7a-3p,1
HOXA10,hsa-let-7c-3p,1
HOXA10,hsa-miR-100-3p,1
HOXA10,hsa-miR-125b-1-3p,1
HOXA10,hsa-miR-125b-2-3p,1
HNF4A,hsa-miR-655-3p,1
HOXA10,hsa-miR-99a-3p,1
HOXA9,hsa-miR-21-3p,1
HOXB7,hsa-miR-221-3p,1
HOXB7,hsa-miR-222-3p,1
HOXD10,hsa-miR-146a-3p,-1
HOXD10,hsa-miR-7-3p,1
HSF1,hsa-miR-135b-3p,1
HSF1,hsa-miR-432-3p,1
HSF2,hsa-miR-182-3p,1
HSF2,hsa-miR-183-3p,1
HSF2,hsa-miR-96-3p,1
IFNB1,hsa-miR-143-3p,1
HOXA9,hsa-miR-196b-3p,1
KLF4,hsa-miR-145-3p,-1
HNF4A,hsa-miR-654-3p,1
HNF4A,hsa-miR-543-3p,1
HNF4A,hsa-miR-329-2-3p,1
HNF4A,hsa-miR-34a-3p,1
HNF4A,hsa-miR-369-3p,1
HNF4A,hsa-miR-376a-3p,1
HNF4A,hsa-miR-376a-1-3p,1
HNF4A,hsa-miR-376b-3p,1
HNF4A,hsa-miR-376c-3p,1
HNF4A,hsa-miR-377-3p,1
HNF4A,hsa-miR-379-3p,1
HNF4A,hsa-miR-380-3p,1
HNF4A,hsa-miR-381-3p,1
HNF4A,hsa-miR-544-3p,1
HNF4A,hsa-miR-382-3p,1
HNF4A,hsa-miR-410-3p,1
HNF4A,hsa-miR-411-3p,1
HNF4A,hsa-miR-412-3p,1
